Cell	annotation	x.loc	y.loc	region
Cell1	CellType2	0.5946358269429766	0.7216801960021257	1
Cell2	CellType2	0.7592012933106163	0.8712212576065212	1
Cell3	CellType1	0.6146536605316215	0.5293167550116777	1
Cell4	CellType2	0.6487647019326688	0.30786957195959985	1
Cell5	CellType1	0.5433766174362973	0.6735941763035953	1
Cell6	CellType2	0.5839944126317278	0.39899110118858516	1
Cell7	CellType1	0.8345335505786352	0.7494274016935378	1
Cell8	CellType1	0.783047430345323	0.19164499989710748	1
Cell9	CellType2	0.8525410803151318	0.3030490125529468	1
Cell10	CellType2	0.6072834895458072	0.972054839367047	1
Cell11	CellType2	0.46778116120258345	0.8985813728068024	1
Cell12	CellType1	0.8885901213390753	0.46609930810518563	1
Cell13	CellType2	0.8667476057657041	0.18792031821794808	1
Cell14	CellType1	0.8842442398774438	0.4999722393695265	1
Cell15	CellType1	0.8485059770871886	0.9681672856677324	1
Cell16	CellType1	0.5777638859231957	0.7313428192865103	1
Cell17	CellType2	0.9941460101283155	0.003432781668379903	1
Cell18	CellType2	0.966066805110313	0.7736041822936386	1
Cell19	CellType2	0.8525197222246789	0.4272665854077786	1
Cell20	CellType1	0.9996259027742782	0.022414767649024725	1
Cell21	CellType1	0.6660545838996769	0.34717809804715216	1
Cell22	CellType1	0.7737747857812792	0.48434529756195843	1
Cell23	CellType2	0.7087440063012764	0.10560588049702346	1
Cell24	CellType2	0.7299823203124106	0.13822576613165438	1
Cell25	CellType1	0.6131654495955445	0.2095065377652645	1
Cell26	CellType1	0.4599620394059457	0.14412198425270617	1
Cell27	CellType2	0.9878087727469393	0.3240000894293189	1
Cell28	CellType2	0.6272880672011525	0.20604459126479924	1
Cell29	CellType1	0.6538053082185797	0.6287560148630291	1
Cell30	CellType1	0.7732331435778179	0.6247163065709174	1
Cell31	CellType1	0.7967075328459032	0.7796510413754731	1
Cell32	CellType1	0.5299537069629878	0.023154469206929207	1
Cell33	CellType1	0.9869892237358726	0.33105354523286223	1
Cell34	CellType1	0.7471251015784219	0.5472764391452074	1
Cell35	CellType2	0.9533789303503	0.6649611464235932	1
Cell36	CellType2	0.7265496770734898	0.3675728237722069	1
Cell37	CellType2	0.8002501046983526	0.9782724007964134	1
Cell38	CellType2	0.5271209095604718	0.9199011418968439	1
Cell39	CellType2	0.6382477391627618	0.5387250606436282	1
Cell40	CellType1	0.6102777580614203	0.9121197503991425	1
Cell41	CellType2	0.6625551760429517	0.621921299956739	1
Cell42	CellType2	0.9919376977253707	0.6087983006145805	1
Cell43	CellType2	0.6304624192533084	0.7340150657109916	1
Cell44	CellType1	0.9520119933527895	0.10763917956501245	1
Cell45	CellType2	0.4526319947792217	0.8722286398988217	1
Cell46	CellType2	0.8689279125188478	0.2673954169731587	1
Cell47	CellType2	0.670547677599825	0.7302645880263299	1
Cell48	CellType1	0.8407049202709459	0.5441206849645823	1
Cell49	CellType1	0.8899952030158602	0.7224340033717453	1
Cell50	CellType1	0.8799668039078825	0.9577821865677834	1
Cell51	CellType2	0.6719107419019565	0.11395699623972178	1
Cell52	CellType1	0.7463262300356291	0.4468406569212675	1
Cell53	CellType1	0.5958737499895506	0.6806998162064701	1
Cell54	CellType1	0.8297642587334849	0.5779854715801775	1
Cell55	CellType1	0.5579134623403661	0.25709216529503465	1
Cell56	CellType1	0.5384159395005554	0.675505873048678	1
Cell57	CellType2	0.4729872369207442	0.8527511639986187	1
Cell58	CellType2	0.520008889795281	0.7092338153161108	1
Cell59	CellType1	0.6895570769091137	0.7441559422295541	1
Cell60	CellType2	0.5010955104604363	0.023742151213809848	1
Cell61	CellType2	0.7151761724846437	0.3715796950273216	1
Cell62	CellType2	0.6720812352607027	0.5136404610238969	1
Cell63	CellType2	0.899904308456462	0.7464602482505143	1
Cell64	CellType2	0.5275571263977327	0.6644476386718452	1
Cell65	CellType1	0.5142054498544895	0.6206444036215544	1
Cell66	CellType1	0.6460455061984249	0.48485569935292006	1
Cell67	CellType1	0.5463301440235228	0.33170848549343646	1
Cell68	CellType1	0.5823841852834448	0.08340667746961117	1
Cell69	CellType1	0.8227990856044927	0.3034893264994025	1
Cell70	CellType2	0.773303875012789	0.8860673087183386	1
