Cell	annotation	x.loc	y.loc
Cell1	CellType1	0.8179829842410982	0.5729887348134071
Cell2	CellType2	0.7003622849006206	0.056283729150891304
Cell3	CellType1	0.45008484390564263	0.444547530496493
Cell4	CellType2	0.8458939509000629	0.30952122970484197
Cell5	CellType2	0.31774625182151794	0.42260662000626326
Cell6	CellType1	0.19141333014704287	0.9533591195940971
Cell7	CellType2	0.47318697324953973	0.8854413346853107
Cell8	CellType1	0.5831080286297947	0.16694188071414828
Cell9	CellType1	0.10956608154810965	0.9451615035068244
Cell10	CellType2	0.5498031047172844	0.04042738117277622
Cell11	CellType1	0.8269341005943716	0.5917876900639385
Cell12	CellType1	0.7869556995574385	0.8613336789421737
Cell13	CellType2	0.1318176023196429	0.3457370982505381
Cell14	CellType1	0.6149235630873591	0.46930262190289795
Cell15	CellType1	0.5845125149935484	0.6342914164997637
Cell16	CellType2	0.3965462457854301	0.31465410557575524
Cell17	CellType1	0.35897088842466474	0.8008493706583977
Cell18	CellType1	0.31542450259439647	0.07393717556260526
Cell19	CellType1	0.7482586768455803	0.41649930621497333
Cell20	CellType2	0.8570076439063996	0.6331018093042076
Cell21	CellType2	0.4766232140827924	0.4164848120417446
Cell22	CellType2	0.806204626802355	0.14260484836995602
Cell23	CellType1	0.7019317238591611	0.20630331872962415
Cell24	CellType1	0.11959693464450538	0.13704331615008414
Cell25	CellType2	0.47394584747962654	0.14791165059432387
Cell26	CellType2	0.7665213830769062	0.4403161150403321
Cell27	CellType1	0.5671554172877222	0.8154766845982522
Cell28	CellType1	0.22800626745447516	0.5792345767840743
Cell29	CellType2	0.4200349955353886	0.6117063581477851
Cell30	CellType1	0.8970911526121199	0.14990849047899246
Cell31	CellType2	0.41422785678878427	0.19044078863225877
Cell32	CellType1	0.6136178418528289	0.26317830570042133
Cell33	CellType1	0.08516312926076353	0.3681210745126009
Cell34	CellType1	0.7876054332591593	0.3415844782721251
Cell35	CellType2	0.4944421169348061	0.9762057261541486
Cell36	CellType1	0.2968697848264128	0.7079895227216184
Cell37	CellType1	0.45913028344511986	0.1600794494152069
Cell38	CellType1	0.43237897637300193	0.732822323217988
Cell39	CellType1	0.5816468195989728	0.5177612989209592
Cell40	CellType1	0.23655911581590772	0.9545695534907281
Cell41	CellType1	0.9414539239369333	0.18991364375688136
Cell42	CellType1	0.8195678496267647	0.4490215377882123
Cell43	CellType2	0.5033054570667446	0.003906812751665711
