Type	Region	CellType	GeneID	AdjCellType	AdjGene	beta
DistanceAssoGenes	1	ExcitatoryNeuron	Gnaz	Microglia	NA	0.5
DistanceAssoGenes	1	ExcitatoryNeuron	Nrap	Microglia	NA	0.5
DistanceAssoGenes	1	ExcitatoryNeuron	Ccdc110	Microglia	NA	0.5
DistanceAssoGenes	1	ExcitatoryNeuron	Psmd9	Microglia	NA	0.5
DistanceAssoGenes	1	ExcitatoryNeuron	Slc2a3	Microglia	NA	0.5
DistanceAssoGenes	1	ExcitatoryNeuron	Slc22a3	Microglia	NA	0.5
DistanceAssoGenes	1	ExcitatoryNeuron	Rasgrp4	Microglia	NA	0.5
DistanceAssoGenes	1	ExcitatoryNeuron	Glra1	Microglia	NA	0.5
DistanceAssoGenes	1	ExcitatoryNeuron	Sntg1	Microglia	NA	0.5
DistanceAssoGenes	1	ExcitatoryNeuron	Rbm44	Microglia	NA	0.5
DistanceAssoGenes	1	ExcitatoryNeuron	Phf8	Microglia	NA	0.5
DistanceAssoGenes	1	ExcitatoryNeuron	Cnot8	Microglia	NA	0.5
DistanceAssoGenes	1	ExcitatoryNeuron	Slitrk3	Microglia	NA	0.5
DistanceAssoGenes	1	ExcitatoryNeuron	Cacng5	Microglia	NA	0.5
DistanceAssoGenes	1	ExcitatoryNeuron	Zbtb39	Microglia	NA	0.5
DistanceAssoGenes	1	ExcitatoryNeuron	Cmya5	Microglia	NA	0.5
DistanceAssoGenes	1	ExcitatoryNeuron	Dzip1l	Microglia	NA	0.5
DistanceAssoGenes	1	ExcitatoryNeuron	Parp4	Microglia	NA	0.5
DistanceAssoGenes	1	ExcitatoryNeuron	Ints1	Microglia	NA	0.5
DistanceAssoGenes	1	ExcitatoryNeuron	Klf12	Microglia	NA	0.5
DistanceAssoGenes	1	ExcitatoryNeuron	Atoh8	Microglia	NA	0.5
DistanceAssoGenes	1	ExcitatoryNeuron	Cdyl	Microglia	NA	0.5
DistanceAssoGenes	1	ExcitatoryNeuron	Ccm2l	Microglia	NA	0.5
DistanceAssoGenes	1	ExcitatoryNeuron	Usp27x	Microglia	NA	0.5
DistanceAssoGenes	1	ExcitatoryNeuron	Mex3d	Microglia	NA	0.5
DistanceAssoGenes	1	ExcitatoryNeuron	Prcp	Microglia	NA	0.5
DistanceAssoGenes	1	ExcitatoryNeuron	P4hb	Microglia	NA	0.5
DistanceAssoGenes	1	ExcitatoryNeuron	Wwc2	Microglia	NA	0.5
DistanceAssoGenes	1	ExcitatoryNeuron	G6pdx	Microglia	NA	0.5
DistanceAssoGenes	1	ExcitatoryNeuron	Adgb	Microglia	NA	0.5
DistanceAssoGenes	1	ExcitatoryNeuron	Arfgap2	Microglia	NA	0.5
DistanceAssoGenes	1	ExcitatoryNeuron	Wdr59	Microglia	NA	0.5
DistanceAssoGenes	1	ExcitatoryNeuron	Rbm28	Microglia	NA	0.5
DistanceAssoGenes	1	ExcitatoryNeuron	Kcnk3	Microglia	NA	0.5
DistanceAssoGenes	1	ExcitatoryNeuron	Cdh7	Microglia	NA	0.5
DistanceAssoGenes	1	ExcitatoryNeuron	Ep400	Microglia	NA	0.5
DistanceAssoGenes	1	ExcitatoryNeuron	F8a	Microglia	NA	0.5
DistanceAssoGenes	1	ExcitatoryNeuron	Ccser1	Microglia	NA	0.5
DistanceAssoGenes	1	ExcitatoryNeuron	Brip1	Microglia	NA	0.5
DistanceAssoGenes	1	ExcitatoryNeuron	Asl	Microglia	NA	0.5
DistanceAssoGenes	1	ExcitatoryNeuron	Scnn1g	Microglia	NA	0.5
DistanceAssoGenes	1	ExcitatoryNeuron	Rab11fip5	Microglia	NA	0.5
DistanceAssoGenes	1	ExcitatoryNeuron	Zfand2a	Microglia	NA	0.5
DistanceAssoGenes	1	ExcitatoryNeuron	Tmco4	Microglia	NA	0.5
DistanceAssoGenes	1	ExcitatoryNeuron	Zfp292	Microglia	NA	0.5
DistanceAssoGenes	1	ExcitatoryNeuron	Nrip2	Microglia	NA	0.5
DistanceAssoGenes	1	ExcitatoryNeuron	Ticam1	Microglia	NA	0.5
DistanceAssoGenes	1	ExcitatoryNeuron	Birc6	Microglia	NA	0.5
DistanceAssoGenes	1	ExcitatoryNeuron	Prss43	Microglia	NA	0.5
DistanceAssoGenes	1	ExcitatoryNeuron	Sox18	Microglia	NA	0.5
DistanceAssoGenes	1	ExcitatoryNeuron	Aplnr	Microglia	NA	0.5
DistanceAssoGenes	1	ExcitatoryNeuron	Nr1d2	Microglia	NA	0.5
DistanceAssoGenes	1	ExcitatoryNeuron	Msh2	Microglia	NA	0.5
DistanceAssoGenes	1	ExcitatoryNeuron	Cdipt	Microglia	NA	0.5
DistanceAssoGenes	1	ExcitatoryNeuron	Cpq	Microglia	NA	0.5
DistanceAssoGenes	1	ExcitatoryNeuron	Pcmtd2	Microglia	NA	0.5
DistanceAssoGenes	1	ExcitatoryNeuron	Nedd1	Microglia	NA	0.5
DistanceAssoGenes	1	ExcitatoryNeuron	Atf5	Microglia	NA	0.5
DistanceAssoGenes	1	ExcitatoryNeuron	Rgs17	Microglia	NA	0.5
