Type	Region	CellType	GeneID	AdjCellType	AdjGene	beta
DistanceAssoGenes	NULL	ExcitatoryNeuron	Trib2	Interneuron	NA	0.685228553241868
DistanceAssoGenes	NULL	ExcitatoryNeuron	Syt17	Interneuron	NA	0.54942049338016
DistanceAssoGenes	NULL	ExcitatoryNeuron	Cux2	Interneuron	NA	0.488331232505819
DistanceAssoGenes	NULL	ExcitatoryNeuron	Nptxr	Interneuron	NA	0.341395716964583
DistanceAssoGenes	NULL	ExcitatoryNeuron	Nptx1	Interneuron	NA	-0.501384215861166
DistanceAssoGenes	NULL	ExcitatoryNeuron	Epas1	Interneuron	NA	-0.514332548821572
DistanceAssoGenes	NULL	ExcitatoryNeuron	Trp53i11	Interneuron	NA	-0.682112201916903
DistanceAssoGenes	NULL	ExcitatoryNeuron	Rprm	Interneuron	NA	-0.685006860423009
DistanceAssoGenes	NULL	ExcitatoryNeuron	Diras2	Interneuron	NA	-0.336944390968477
DistanceAssoGenes	NULL	ExcitatoryNeuron	Igsf21	Interneuron	NA	-0.384038619127999
DistanceAssoGenes	NULL	ExcitatoryNeuron	Fam107a	Interneuron	NA	-0.370960696357259
DistanceAssoGenes	NULL	ExcitatoryNeuron	Zcchc24	Interneuron	NA	-0.51391637082381
DistanceAssoGenes	NULL	ExcitatoryNeuron	Cldn5	Astrocyte	NA	-0.686590365959116
DistanceAssoGenes	NULL	Astrocyte	Fn1	ExcitatoryNeuron	NA	1.6883900718549
DistanceAssoGenes	NULL	ExcitatoryNeuron	Igsf21	Endothelial	NA	0.352586902420344
DistanceAssoGenes	NULL	ExcitatoryNeuron	Cnp	Oligodendrocyte	NA	0.991129025479445
DistanceAssoGenes	NULL	ExcitatoryNeuron	Cldn11	Oligodendrocyte	NA	0.766723971610681
DistanceAssoGenes	NULL	ExcitatoryNeuron	Eng	Oligodendrocyte	NA	0.741709509082712
DistanceAssoGenes	NULL	ExcitatoryNeuron	Nptxr	Oligodendrocyte	NA	-0.361292414985656
DistanceAssoGenes	NULL	Interneuron	Cygb	Oligodendrocyte	NA	0.582969092395512
DistanceAssoGenes	NULL	Interneuron	Tsc22d3	Interneuron	NA	-1.03552402822193
DistanceAssoGenes	NULL	Interneuron	Sdc4	Interneuron	NA	-1.68596727727488
DistanceAssoGenes	NULL	Interneuron	Myh9	Interneuron	NA	-2.03975496767261
DistanceAssoGenes	NULL	Endothelial	Trib2	Microglia	NA	1.72321073650172
DistanceAssoGenes	NULL	Astrocyte	Pkp4	Oligodendrocyte	NA	1.94425331833764
DistanceAssoGenes	NULL	Astrocyte	Ctnna1	Oligodendrocyte	NA	1.78755615666466
DistanceAssoGenes	NULL	Astrocyte	Mog	Oligodendrocyte	NA	1.61342917998224
DistanceAssoGenes	NULL	Astrocyte	Bcas1	Oligodendrocyte	NA	1.26863455915253
DistanceAssoGenes	NULL	Astrocyte	Ntsr2	Oligodendrocyte	NA	0.446208948618378
DistanceAssoGenes	NULL	Endothelial	Idh2	Oligodendrocyte	NA	2.06227856648057
ExprAssoGenes	NULL	Astrocyte	Ctsd	Oligodendrocyte	Lrp1	0.7391921447596119
ExprAssoGenes	NULL	Oligodendrocyte	Lrp1	Astrocyte	Ctsd	0.7391921447596119
ExprAssoGenes	NULL	Endothelial	Efnb2	ExcitatoryNeuron	Ephb1	0.48007858259473
ExprAssoGenes	NULL	ExcitatoryNeuron	Ephb1	Endothelial	Efnb2	0.48007858259473
ExprAssoGenes	NULL	Endothelial	Efnb3	ExcitatoryNeuron	Ephb1	0.5625326219046661
ExprAssoGenes	NULL	ExcitatoryNeuron	Ephb1	Endothelial	Efnb3	0.5625326219046661
ExprAssoGenes	NULL	Oligodendrocyte	Efnb3	ExcitatoryNeuron	Ephb6	0.36196230373864763
ExprAssoGenes	NULL	ExcitatoryNeuron	Ephb6	Oligodendrocyte	Efnb3	0.36196230373864763
ExprAssoGenes	NULL	Interneuron	Efnb3	ExcitatoryNeuron	Ephb6	0.3670913220950885
ExprAssoGenes	NULL	ExcitatoryNeuron	Ephb6	Interneuron	Efnb3	0.3670913220950885
ExprAssoGenes	NULL	Oligodendrocyte	Efnb3	Astrocyte	Ephb6	-0.7508681880133923
ExprAssoGenes	NULL	Astrocyte	Ephb6	Oligodendrocyte	Efnb3	-0.7508681880133923
ExprAssoGenes	NULL	Astrocyte	Fn1	ExcitatoryNeuron	Itga2b	0.46109298723399383
ExprAssoGenes	NULL	ExcitatoryNeuron	Itga2b	Astrocyte	Fn1	0.46109298723399383
ExprAssoGenes	NULL	Astrocyte	Gas6	ExcitatoryNeuron	Axl	-0.8983972554535149
ExprAssoGenes	NULL	ExcitatoryNeuron	Axl	Astrocyte	Gas6	-0.8983972554535149
ExprAssoGenes	NULL	Interneuron	Nptx1	ExcitatoryNeuron	Nptxr	0.5613969021430016
ExprAssoGenes	NULL	ExcitatoryNeuron	Nptxr	Interneuron	Nptx1	0.5613969021430016
ExprAssoGenes	NULL	ExcitatoryNeuron	Nptx1	Interneuron	Nptxr	-0.8813045996990349
ExprAssoGenes	NULL	Interneuron	Nptxr	ExcitatoryNeuron	Nptx1	-0.8813045996990349
ExprAssoGenes	NULL	Oligodendrocyte	Nptx1	ExcitatoryNeuron	Nptxr	-1.2553134155603891
ExprAssoGenes	NULL	ExcitatoryNeuron	Nptxr	Oligodendrocyte	Nptx1	-1.2553134155603891
ExprAssoGenes	NULL	Interneuron	Nptx2	ExcitatoryNeuron	Nptxr	0.6043639342147602
ExprAssoGenes	NULL	ExcitatoryNeuron	Nptxr	Interneuron	Nptx2	0.6043639342147602
ExprAssoGenes	NULL	Oligodendrocyte	Nptx2	ExcitatoryNeuron	Nptxr	-1.057214088303651
ExprAssoGenes	NULL	ExcitatoryNeuron	Nptxr	Oligodendrocyte	Nptx2	-1.057214088303651
ExprAssoGenes	NULL	ExcitatoryNeuron	Sema4d	Microglia	Plxna2	-0.8609859747820565
ExprAssoGenes	NULL	Microglia	Plxna2	ExcitatoryNeuron	Sema4d	-0.8609859747820565
ExprAssoGenes	NULL	ExcitatoryNeuron	Sema4d	Microglia	Plxnb1	-1.1748317196477673
ExprAssoGenes	NULL	Microglia	Plxnb1	ExcitatoryNeuron	Sema4d	-1.1748317196477673
ExprAssoGenes	NULL	ExcitatoryNeuron	Sema4d	Microglia	Plxnb2	-0.844241031982486
ExprAssoGenes	NULL	Microglia	Plxnb2	ExcitatoryNeuron	Sema4d	-0.844241031982486
ExprAssoGenes	NULL	Endothelial	Sema4d	Interneuron	Plxnb2	-1.837346357485711
ExprAssoGenes	NULL	Interneuron	Plxnb2	Endothelial	Sema4d	-1.837346357485711
ExprAssoGenes	NULL	Oligodendrocyte	Sema5a	ExcitatoryNeuron	Plxna1	-1.1687895535730375
ExprAssoGenes	NULL	ExcitatoryNeuron	Plxna1	Oligodendrocyte	Sema5a	-1.1687895535730375
ExprAssoGenes	NULL	Astrocyte	Sema6b	ExcitatoryNeuron	Plxna4	-0.460260408038783
ExprAssoGenes	NULL	ExcitatoryNeuron	Plxna4	Astrocyte	Sema6b	-0.460260408038783
ExprAssoGenes	NULL	Oligodendrocyte	Sema6d	ExcitatoryNeuron	Plxna1	-1.286947925861742
ExprAssoGenes	NULL	ExcitatoryNeuron	Plxna1	Oligodendrocyte	Sema6d	-1.286947925861742
ExprAssoGenes	NULL	Oligodendrocyte	Slit3	ExcitatoryNeuron	Plxna1	-1.0677941764204935
ExprAssoGenes	NULL	ExcitatoryNeuron	Plxna1	Oligodendrocyte	Slit3	-1.0677941764204935
ExprAssoGenes	NULL	Astrocyte	Vegfa	ExcitatoryNeuron	Axl	-0.5311610669513345
ExprAssoGenes	NULL	ExcitatoryNeuron	Axl	Astrocyte	Vegfa	-0.5311610669513345
