parameters	value
path_to_input_dir	/Users/songxiaoyu152/Dropbox/SpatialTranscriptomics/Paper_Simulator/Github/
expression_data_file	InputData/expression_data/fake1_expr.Rdata
cell_feature_data_file	InputData/cell_feature_data/fake1_cellfeature.Rdata
expression_data_file_type	Rdata
expression_data_cell_types	"CellType1,CellType2"
simulate_spatial_data	TRUE
num_simulated_cells	2000
num_regions	2
custom_cell_type_proportions	FALSE
cell_type_proportion_1	"1,CellType1,0.7"
cell_type_proportion_2	"1,CellType2,0.3"
cell_type_proportion_3	"2,CellType1,0.7"
cell_type_proportion_4	"2,CellType2,0.3"
custom_cell_location_interactions	FALSE
cell_even_distribution	0
cell_overlap_cutoff	0.02
expr_depth_ratio	1
region_specific_model	NULL
gene_cor	FALSE
num_simulated_datasets	20
parent_simulation_seed	123
simulation_seed_for_each_dataset	"123,124,125,126,127,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
path_to_output_dir	/Users/songxiaoyu152/Dropbox/SpatialTranscriptomics/Paper_Simulator/Github/OutputData/
output_name	fig2a1
